[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.21
Rm = 12.4829059
Bf(kN/mm) = 1.4605
Fb = 0.03
Rb = 0.01282051
Fy = /
Ry = 
E(GPa) = -0.1112673
Slope = -2.603656
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
10.160	4.04	-0.8060	-0.8100
10.180	4.05	-0.8080	-0.8100
10.200	4.06	-0.8090	-0.8100
10.220	4.07	-0.8110	-0.8100
10.240	4.07	-0.8130	-0.8100
10.260	4.08	-0.8140	-0.8100
10.280	4.09	-0.8160	-0.8200
10.300	4.09	-0.8170	-0.8200
10.320	4.10	-0.8200	-0.8200
10.340	4.10	-0.8220	-0.8200
10.360	4.11	-0.8230	-0.8200
10.380	4.12	-0.8250	-0.8200
10.400	4.12	-0.8260	-0.8300
10.420	4.13	-0.8280	-0.8300
10.440	4.14	-0.8290	-0.8300
10.460	4.14	-0.8310	-0.8300
10.480	4.15	-0.8320	-0.8300
10.500	4.15	-0.8340	-0.8300
10.520	4.16	-0.8350	-0.8400
10.540	4.17	-0.8370	-0.8400
10.560	4.18	-0.8400	-0.8400
10.580	4.19	-0.8410	-0.8400
10.600	4.19	-0.8430	-0.8400
10.620	4.20	-0.8450	-0.8400
10.640	4.20	-0.8460	-0.8500
10.660	4.21	-0.8480	-0.8500
10.680	4.22	-0.8490	-0.8500
10.700	4.22	-0.8510	-0.8500
10.720	4.23	-0.8520	-0.8500
10.740	4.24	-0.8550	-0.8600
10.760	4.24	-0.8570	-0.8600
10.780	4.24	-0.8580	-0.8600
10.800	4.25	-0.8600	-0.8600
10.820	4.26	-0.8610	-0.8600
10.840	4.27	-0.8630	-0.8600
10.860	4.28	-0.8640	-0.8600
10.880	4.28	-0.8660	-0.8700
10.900	4.29	-0.8670	-0.8700
10.920	4.29	-0.8690	-0.8700
10.940	4.30	-0.8700	-0.8700
10.960	4.31	-0.8720	-0.8700
10.980	4.32	-0.8750	-0.8800
11.000	4.32	-0.8770	-0.8800
11.020	4.33	-0.8780	-0.8800
11.040	4.33	-0.8800	-0.8800
11.060	4.34	-0.8810	-0.8800
11.080	4.35	-0.8830	-0.8800
11.100	4.35	-0.8840	-0.8800
11.120	4.36	-0.8860	-0.8900
11.140	4.37	-0.8870	-0.8900
11.160	4.38	-0.8900	-0.8900
11.180	4.38	-0.8920	-0.8900
11.200	4.39	-0.8930	-0.8900
11.220	4.39	-0.8950	-0.8900
11.240	4.40	-0.8960	-0.9000
11.260	4.41	-0.8980	-0.9000
11.280	4.41	-0.8990	-0.9000
11.300	4.41	-0.9010	-0.9000
11.320	4.42	-0.9020	-0.9000
11.340	4.43	-0.9040	-0.9000
11.360	4.43	-0.9050	-0.9100
11.380	4.44	-0.9070	-0.9100
11.400	4.45	-0.9100	-0.9100
